"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"High income","HIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","4643934","4324552","4104769","4001847","3950580","2863395","2870753","2646651","2896730","3041719","2998662","2644226","2266048","2029163","1840516","1843477","1835885","1974798","2057759","2148554","2012496","2065425","2121648","1516486","1346806","1368798","1302994","1401851","1359096","1295145","993322","983749","735904","631438","879036","797991","1028581","771996","754187","742561","587550","439140","519810","703377","",
"Hong Kong SAR, China","HKG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","34048","30408","30121","24167","18725","16701","13031","13962","13134","2141","2504","5858","7233","8853","11805","","","","","","","","","","17830","16011","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","77159","77652","","47056","45403","44289","","52211","","","","","62877","","59953","","","","","","","79411","","","59070","61359","90992","69964","103836","85864","93461","87059","83708","104763","123641","126217","132776","124055","114409","","",
"Heavily indebted poor countries (HIPC)","HPC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","10642933","10772419","10957781","10840949","10738557","10677665","10686393","10740406","10652704","10666873","11072652","11202713","11593570","11954827","12340543","12956242","13454363","14179793","14932181","15071678","15808456","16374070","16514108","15967946","16266082","15689947","16100105","16716504","16268855","15698114","14717079","13983817","13404498","12580184","11822557","11198240","9975283","10173041","10600000","10200000","10200000","9971523","9817754","10100000","10100000","10000000","10500000","",
"Croatia","HRV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18281","8079","6318","2223","","","","","","","3777","8385","5615","3465","","","","","","","","",
"Haiti","HTI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","263820","239685","228648","250688","232044","233534","293366","","","","","","","","","","271092","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52078","31370","3518","2562","8146","6184","4875","7060","7393","4991","3927","5502","3669","3133","3722","5309","6428","6455","6104","5685","4297","4803","","",
"IBRD only","IBD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","25150936","25811384","25593596","23706028","23239394","22713520","22284580","22401152","24099508","23815186","22939884","21789924","21441820","20956436","19945264","18587248","16978816","16287085","14944796","13268553","13968024","13667353","14220208","14659377","15494363","17431738","18584932","20235964","18299904","15497398","14441833","13715691","13534616","12684557","11801211","10495676","10168579","7575686","7708772","8799873","8568453","9234568","7561816","7326612","7055418","6492140","6425499","6347399","6678478","",
"IDA & IBRD total","IBT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","44238632","45031120","44462856","42245948","42055992","41479380","41082048","40948476","42650248","42125592","41135372","39846064","39571096","39281120","39332632","38883460","38442212","38750624","37873740","37199924","38903100","38784584","39951892","40897556","42106504","44022912","46176300","47240708","45646840","43343064","41056196","39576008","38276384","36153584","33754360","31328816","31215688","26917480","27046428","28158704","28900000","29300000","27800000","27100000","26500000","26800000","26400000","26400000","26200000","",
"IDA total","IDA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"IDA blend","IDB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8625079","8445768","8031957","7925238","8006250","7826269","7047632","6994414","7969305","6699992","7890397","7741919","8182649","8311164","8407682","7977627","7645895","8339982","7833378","8046826","7257909","",
"Indonesia","IDN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2318790","2275244","","2215170","2272410","2050853","","1117562","","","628708","","","","","","64015","","66962","304802","438234","536174","718043","619613","621753","851083","849363","","","","418627","551569","578626","681910","746392","564999","186422","425944","303066","434529","720353","648387","966571","909343","","608103","428719","482011","",
"IDA only","IDX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","13333281","13380383","12991780","12613432","13046061","12904010","12781084","12685905","12717310","12895339","12917155","13088844","13439385","13582795","14376200","14908755","15390198","16029276","16024275","16697284","17538500","17535034","18099928","18655600","18791980","18381932","18646676","18220364","18724972","19403364","18585400","17936310","16736161","15643407","14905684","13839449","13078093","12642095","11447722","11617466","12200000","11700000","11800000","11800000","11800000","12000000","12100000","12000000","12300000","",
"Isle of Man","IMN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","10100315","","","","","","","","","","","","","","","","","","","6821828","","","","","","","","","","6373315","6878720","7353998","7008258","","","","1999230","2785734","3981236","3417648","3904269","2587681","2025529","","","","","","",
"Not classified","INX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","5147","6302","6106","8399","9189","8541","8256","8957","10939","13996","18377","22678","26429","","","30240","28635","26535","25699","24898","25325","26559","26751","26027","24661","22196","","","228","","778","","","","","","","","","","5743","","","","","","","","",
"Iran, Islamic Rep.","IRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","261759","309974","329222","354427","390266","437841","180772","","68660","","","","","298863","","563065","512893","","17998","65679","7306","97843","78413","130213","","50906","87749","83600","45406","","","","","","","",
"Iraq","IRQ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","172138","151903","134436","120520","161554","75517","94795","102783","21341","16537","44873","","105479","","104395","97983","70320","68181","63488","","","","279715","","","339931","","","68743","95686","","","","24172","","","37653","","","","","","","","","","","","",
"Iceland","ISL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404","","373","288","27","","","","","130","374","337","361","343","173","","147","209","297","242","206","202","60","","","",
"Israel","ISR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","55165","","","12201","","","","","","23118","","","","","","","","","","","20641","11753","","","","","","","","","","","","","","","","29","10448","20839","28629","34673","","",
"Jamaica","JAM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","11078","16141","15469","","9150","9619","8536","","7123","9137","10035","9422","3296","9479","4262","4859","7745","","10959","","","","","","15027","12529","12648","14755","17152","13256","","","","","","","","","","","22094","19196","19155","22182","",
"Jordan","JOR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","11515","3296","","","","","514","2894","18279","25978","27334","36876","38604","40152","","","","","","","","","","","","","","39639","37390","","30707","26757","27397","30512","39690","51615","64243","","94489","111265","132189","144211","","","152979","133448","129267","",
"Japan","JPN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38463","","1840","","","","5364","5590","","","","","","","","","","","","",
"Kenya","KEN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1045323","990672","772073","760466","462009","534579","551122","606656","292730","450645","364751","","","761042","","","","","","","",
"Kyrgyz Republic","KGZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14243","","","12940","15555","12335","12572","12931","2892","8356","4914","7158","8109","9704","7741","8299","2514","","","","","","","",
"Cambodia","KHM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106325","92085","83903","17745","","","","","","41216","22540","32471","","50899","","","","33346","53870","68211","90046","94844","",
"Kiribati","KIR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","66","203","345","","94","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","344","364","","","","","","","","","","","","","","","","","","","","","","20","","","","","","","","","","","",
"Korea, Rep.","KOR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","66660","31317","53991","67724","68042","47186","76682","71968","30828","","","","","27625","43209","49244","18058","","","","","","","","","","","","","29232","44633","48506","27445","27028","","","","","7245","","","35411","69643","60305","21098","38639","33524","","",
"Kuwait","KWT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","14373","15214","14099","13269","13062","13759","11836","4710","6280","10246","10544","10538","9191","8063","5339","5358","10683","13461","","","","53364","","26089","","4491","3897","","1401","6986","10571","8997","","","9424","","","","","","","","","","","6144","13546","","",
"Latin America & Caribbean (excluding high income)","LAC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3260266","3283285","3248957","3140065","3062163","3076028","2960857","2790920","2695898","2337343","2263142","2070722","2057960","2084864","2141892","2078325","2165592","2196267","2335093","2609287","2534274","2486356","2174075","2029433","2136664","2150301","2035645","2177790","1473828","1071974","907636","797904","688082","716646","978149","773190","1101349","1123616","658571","756928","876410","855376","859666","978789","1015959","990182","968404","921319","1151204","",
"Lao PDR","LAO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117207","104383","94948","","97489","92025","82148","83115","81351","85013","80931","70534","69489","64223","56729","46349","37565","30401","12803","15667","15593","9081","8742","16141","19003","26278","30203","",
"Lebanon","LBN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Liberia","LBR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93576","","","","","","","","","156616","","","","","","21442","22437","57194","82261","","",
"Libya","LBY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","12602","2689","","","","","","9981","","","2056","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Lucia","LCA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","1566","1159","","","","","","","","154","","","","","","","","","","790","666","","","389","551","325","396","","","","","","","","","56","180","204","",
"Latin America & Caribbean","LCN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","3322107","3333746","3298412","3186063","3112328","3123823","3004060","2829961","2735658","2389173","2333567","2131932","2148315","2196384","2276651","2211426","2310678","2348255","2495757","2761105","2678587","2627965","2329117","2182474","2293172","2307408","2190618","2538064","1595427","1180103","1020606","915821","809104","840955","1063842","850076","1170821","1174098","703641","820586","927457","915830","922212","1048343","1097060","1069404","1059195","1004387","1252795","",
"Least developed countries: UN classification","LDC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","12824148","12865475","12465231","12085497","12476858","12304788","12186404","12074768","12085780","12260828","12269122","12485034","12868056","12987976","13754695","14313527","14728392","15378826","15343564","16017157","16830856","16904520","17481348","18007868","18150448","17693998","17927732","17515812","17991092","18644526","17897252","17188644","16051926","14793301","14033242","12924416","12124758","11781424","10643572","10798013","11400000","11100000","11200000","10900000","10800000","11200000","11400000","11600000","11900000","",
"Low income","LIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","8948793","9025348","9159819","9065873","8982235","8878451","8851263","8922063","8828632","8856731","9289186","9394371","9733362","10057515","10384710","10947092","11340991","11958732","12637323","12810339","13488556","14005706","14156445","13593000","13849253","13419511","13879029","14501453","14067924","13533808","12534575","11669575","11106418","10339209","9582498","9089954","8167167","8124363","8518056","8137191","7880552","7876268","7917214","8238457","8354909","8735009","9150818","",
"Liechtenstein","LIE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","","","","","",
"Sri Lanka","LKA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3934","","22976","25550","28369","35405","53184","37796","35434","33379","22275","14974","","","","","",
"Lower middle income","LMC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","24970488","25147146","24504114","23506648","23803910","23655752","23382792","22233216","22665040","22290256","21754960","20990540","20195804","19800686","19873684","20410036","20712828","21381256","21081126","20811234","22228928","22238368","22290926","21981636","21648702","22382168","22992092","23366092","23421636","22992644","21569572","21560128","22052876","21401134","19354374","17808912","17409424","14284829","15921899","16871692","17000000","17800000","16600000","15900000","15200000","15400000","14600000","14200000","13400000","",
"Low & middle income","LMY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","44163836","44971880","44427960","42224520","42025624","41437248","41033736","40896552","42591736","42058376","41064960","39824512","39557712","39249928","39289544","38844616","38382500","38669984","37781116","37082128","38772016","38653672","39792296","40760872","41950864","43840068","45987324","46871328","45538164","43242008","40948784","39469740","38157092","36025544","33657160","31243090","31150806","26870754","27008540","28097332","28900000","29200000","27800000","27100000","26400000","26800000","26300000","26300000","26100000","",
"Lesotho","LSO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","53600","","58371","58847","53143","","55631","56969","65247","66620","67535","68603","65316","67658","68334","66574","67722","67306","67072","69865","73730","72464","73079","77966","76281","76635","77890","","89209","92805","52967","48472","42041","36133","34109","29948","25166","26404","23582","22705","18463","17741","17719","16594","15859","12787","9258","4299","","",
"Late-demographic dividend","LTE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","5339728","4302156","3258184","2792975","2867863","2885864","3255326","3796142","4813004","6229321","7358602","8535316","6839728","4489965","4179665","3789902","3453140","2866756","3183250","3000596","3976604","3268196","2424776","2656745","2798213","2571539","2319502","2402345","2372699","2329258","2252122","2167502","2310029","",
"Lithuania","LTU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4178","","","","","42","","","","","","","","","","","","","","","","",
"Luxembourg","LUX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","1517","1756","1304","1445","1494","1687","1697","","","3006","2218","2242","2404","","2376","2809","2070","","","","","","","","","","","452","658","443","400","770","673","364","276","249","412","","936","1042","700","797","524","209","","","","",
"Latvia","LVA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","523","529","461","927","1222","1354","1424","1293","1187","","",
"Macao SAR, China","MAC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1503","","2692","","","","","","","2234","2440","2989","2710","2655","2401","2327","2469","2030","2008","2216","2204","1990","1763","1558","1062","606","322","346","446","",
"St. Martin (French part)","MAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","646969","612823","550679","502116","468797","431066","394298","398983","370431","334036","364979","404525","451007","496610","552907","558462","688495","700551","669594","627246","575172","530943","499763","541929","306232","276309","253283","231734","208312","212382","197487","169693","142777","138291","171184","111117","96170","109215","85243","99661","","81091","43383","","",
"Monaco","MCO","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Moldova","MDA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8873","3993","4415","731","1564","4311","6991","7035","6226","6224","6466","5847","6067","6010","5798","6186","6253","7043","7353","",
"Madagascar","MDG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","161304","","","","","","","","","","","","","","","","","267580","288753","","","","","446330","411354","","","371547","364910","364088","372183","266025","","","","","","","","","","","","","","","","",
"Maldives","MDV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1279","","635","742","","395","","","","","","","","","","","","","","774","1217","","",
"Middle East & North Africa","MEA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","2779299","2863749","2674778","2638486","2618235","2537384","2378903","2325505","2287400","2395303","2285625","2374747","2366759","2389189","2300021","2381725","2394338","2373414","2425457","2548603","2260329","2292316","2622176","2695875","2580143","2744662","2593726","2608948","2738574","2639228","2454081","1917748","1622085","1518726","1364927","1449122","1502338","1303101","1153920","1025997","828505","885067","671934","921156","","","","","","",
"Mexico","MEX","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","840881","","","","","","","","","","","","","","","","","","","","","","","","","","248792","203715","","","","","","","","","","","","","","","","","","","","","",
"Marshall Islands","MHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207","","","","1263","1215","","","",
"Middle income","MIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","35596040","36233100","35479168","33199174","32865806","32371376","32051500","32018104","33740472","33136316","32236328","30967784","30268528","29855558","29556180","28787100","27997792","27722894","26440126","25123396","26134696","25843332","26303740","26755164","27794416","30247068","32138070","33451818","31659136","28740556","26880860","25935932","25622516","24355970","22550740","20903880","21568308","17780800","18841372","19972968","20400000","21100000","19900000","19200000","18500000","18600000","17900000","17600000","16900000","",
"North Macedonia","MKD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4838","4831","978","2145","2857","3461","2847","2906","3962","3564","5474","4356","2335","","4926","5665","4914","3214","","","","",
"Mali","MLI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","347795","","","","","","","","","","","","","","","","","","","","","","","","","","","","425375","","","392343","404263","439146","380465","382670","373768","","317554","321999","326859","375128","","469115","531456","524023","465237","631173","",
"Malta","MLT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","3661","3684","3967","3708","2933","1790","1020","308","197","502","747","1038","1105","1043","527","726","946","1074","1000","855","715","630","532","767","527","476","413","","","","","","","","","","","","","","","","","","","","","","",
"Myanmar","MMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","664403","","531532","778336","","","","730836","","","","","","","","","","","","","","","","","","","","","","228845","201050","266946","225174","263954","281842","275675","423998","252921","266257","273482","","","","","","","","","",
"Middle East & North Africa (excluding high income)","MNA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","2492062","2563746","2366588","2320943","2292006","2204944","2033202","1972834","1928132","2013951","1887039","1956827","1934860","1942550","1845592","1915553","1919913","1892161","1931136","2039882","1734299","1736150","2056653","2136086","2032851","2226255","2103967","2138587","2297064","2227727","2054761","1533955","1266483","1188642","1064223","1172296","1259856","1117944","1007443","882865","761558","817019","648414","855689","","","","","","",
"Montenegro","MNE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","614","","503","328","750","762","","","","790","","","967","960","590","","",
"Mongolia","MNG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17982","15022","20383","16246","13306","10439","8733","9392","16673","7868","10600","3966","1140","","","","","302","3454","4070","2373","","","","",
"Northern Mariana Islands","MNP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","363644","","","","","","359595","","398077","415180","298606","","295408","310428","422261","","469603","","472867","500508","521121","519862","506054","","","695166","657425","615251","559699","686462","","482896","400724","341368","245410","188186","183689","160555","231020","233811","209883","198421","155357","199898","241463","134743","",
"Mauritania","MRT","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94139","83805","80786","","80618","84409","84871","77306","81240","75910","61860","67476","62199","62108","73665","76526","77583","79087","86073","78288","74126","","89421","76737","69108","",
"Mauritius","MUS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","17918","16954","15651","14089","13438","10664","12284","14269","14016","11794","7518","5336","3427","","1176","","","","2140","5011","","4754","3961","3360","1840","1300","","","","","","","1461","694","","","","977","","","2943","1814","","","","","","",
"Malawi","MWI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87040","","","","","","","","","","","","",
"Malaysia","MYS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","91467","107947","98795","","","","","","","","","","","","","","","","","","","","","","43143","","","","61421","36646","26459","35296","54332","46692","11156","8573","98846","98176","86685","93106","65132","57063","29181","","470","","","","","",
"North America","NAC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","1063179","848616","641556","501379","346696","207581","144204","255484","378433","504069","388677","530103","431857","335182","239419","276027","263485","354153","325388","300866","140669","178135","52762","61142","289219","316389","539298","318147","290391","299423","218900","37316","67277","35204","",
"Namibia","NAM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"New Caledonia","NCL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","354851","365004","","","","","","","","","","","","407635","","","461591","480042","491686","523622","","","","","578982","596261","603375","621985","604539","582479","565477","549018","581677","593935","609562","599744","575322","541802","494477","506858","539085","569041","562414","566897","539592","","",
"Nigeria","NGA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3033289","2773712","","","","2951925","3005721","3101169","2457076","3473187","3477155","3646385","","","","","","","","","",
"Nicaragua","NIC","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","103409","","107586","","","","","","","103392","","114273","117255","124634","119623","126372","124135","128273","137543","130246","122661","114038","112146","109022","116738","","","","78023","66761","50671","21013","","","","13258","14451","11207","","19224","","","","","","","","","",
"Netherlands","NLD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","60832","65910","71569","77178","78463","71600","69454","65511","61081","59211","61835","73491","83960","89198","89200","53510","42482","33817","30972","32507","36312","39479","45672","4864","3602","2098","472","","","","","","","","","","","","","","","","","","","","8082","","",
"Norway","NOR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","1207","","2631","3603","","3627","4125","","5436","6942","6436","5479","3823","2156","510","","642","2396","2689","2897","2962","32054","","","","","","395","1632","3653","3854","2220","1630","1967","2076","1274","","","100","","","","","",
"Nepal","NPL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","186978","188690","","","","144291","","","","","","","","","","","405154","326292","","","254420","250291","","","","","","","","","","","","","","","",
"Nauru","NRU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","133","","","","","","","",
"New Zealand","NZL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","880","512","","","","","","","","","640","","","","","","","","1363","3636","","4876","2797","1654","","","","","","","","","","","","","","","","","3536","4028","3928","2600","","","",
"OECD members","OED","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","5562018","5215507","5178865","5098544","4751852","4435691","4314884","3971349","2748819","2646559","2311449","2511375","2567737","2539395","2152192","1786102","1572778","1533313","1385116","1375207","1479655","1645092","1812213","1758026","1863824","1936946","1261816","893455","916117","872186","1010352","998421","973443","691909","712197","516320","488525","817342","805409","1077055","922702","838555","841489","705430","564486","589714","785319","",
"Oman","OMN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","52088","49433","44556","46630","","42787","42348","","42101","42380","43876","40316","43011","42454","40606","44516","45335","46540","48343","48173","46050","46557","44269","37960","38275","35162","31093","28953","27303","25815","26740","","","","","","","","2862","","","","","","","","",
"Other small states","OSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","278174","290874","288878","285185","275846","264659","257976","255711","266048","273392","271456","262655","251138","253818","254360","250059","261144","269691","281408","298893","326019","334351","350734","355606","346278","351680","351044","353874","348801","349470","312532","299581","288634","284683","282685","279678","264411","262812","265436","261619","250302","235923","236664","241077","243770","242886","243933","235628","247425","",
"Pakistan","PAK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3634900","3699137","2885679","2747755","3592640","3310182","3374606","3392864","3350017","3766237","3900296","3343134","2789642","3297080","2722153","2781830","2309400","",
"Panama","PAN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","33949","24107","21124","18548","","16473","17800","","14966","17931","19517","22130","24063","26057","26462","25849","25298","24596","26624","24560","24250","","","","","","","","","11032","8745","5486","993","","","1332","36","","2138","7464","5463","8123","9475","13256","18866","22301","","29277","","",
"Peru","PER","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","240895","","","","","","","","","","","146259","","","","","","","","","","","","175221","","273671","","","60889","36934","23465","","","45531","","","","","","27286","","17942","","","","","","","","",
"Philippines","PHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","250059","315377","382245","279829","","271599","228712","205004","139670","801302","","","","","","","","381257","663227","","621548","628038","647405","701351","702377","813757","808541","750146","595173","","","","","225734","215431","232494","209179","","",
"Palau","PLW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
