"Data Source","World Development Indicators",

"Last Updated Date","2019-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Bosnia and Herzegovina","BIH","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belarus","BLR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33074","","","","","","","","","","","","","","","","","","3560","2999","3305","108","","1198","",
"Belize","BLZ","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","571","1244","","1449","1136","1099","1029","1212","770","605","443","377","","157","","","","","","",
"Bermuda","BMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","629","678","","","","","467","365","","","","","","","","","","","","","","","","","","","","","","","","","","99","115","","","","","","","",
"Bolivia","BOL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16711","37507","56262","75697","78418","79252","76580","70260","59056","","",
"Brazil","BRA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","176218","","","492093","","218767","","228102","","","","","","","","",
"Barbados","BRB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","2428","2055","2047","","","76","","","","","970","660","116","","","","","","49","190","","1244","","","","","","","","259","313","674","698","836","952","515","362","180","398","334","523","","","808","509","267","287","80","",
"Brunei Darussalam","BRN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","1213","1283","2755","2883","3774","4166","4070","3971","","3408","","","","","1694","1559","1270","1203","420","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","21651","21318","","","","","","","","","","","","","","","","","","","23359","23425","22367","21111","","","","16529","14380","","11087","8480","7269","6380","4931","5064","","5368","5363","5137","4124","",
"Botswana","BWA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","34030","37384","38160","39344","37798","34582","32396","30302","30847","30839","28463","23917","","20371","19965","17814","15740","14758","14700","13804","15159","12912","13571","13782","13756","27189","26424","","23208","24475","23374","21469","20992","20928","17122","18386","16380","18997","21371","22020","","","19429","19247","19288","","","","","",
"Central African Republic","CAF","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","45014","42091","40453","","","","54444","55696","","","49686","46245","39615","","","45769","72011","81091","84617","63456","80344","","","","","","","","","","","","","","146387","148337","121652","93583","95551","89755","102837","98866","","","","","","","",
"Canada","CAN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","42354","42960","48272","51344","49022","48074","48829","40099","53084","17551","20848","36078","38476","56050","44580","","9916","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266827","171261","152236","178890","152796","153223","152013","149599","149245","143108","107191","96425","90249","80861","83756","78454","96434","110139","109122","122038","133581","196179","",
"Switzerland","CHE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","77197","74629","","","65042","62679","61869","61344","59307","56533","52657","47572","42026","38102","36752","37505","40823","44055","26046","21800","","","","","","","","","","","","","","1603","1439","1770","","","","","","","",
"Channel Islands","CHI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21329","16261","29512","20182","23093","24118","27343","26883","25567","21112","15069","","",
"China","CHN","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","1832161","","193853","","178214","809124","1550955","2679864","4175926","5468200","6490539","","","","","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","201143","","","","","","","","","","","","","","","","","","","438618","439044","","441661","458597","413332","413489","537089","","","","","","641850","","","","516366","410588","346527","159702","141216","44066","",
"Cameroon","CMR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","139297","155864","171740","196533","160648","158444","174617","171177","173019","178651","","","","","","","","190039","","216110","246503","","","","","","","","","","","","","","","","","","","","86808","","","","","15527","","","",
"Congo, Dem. Rep.","COD","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","250350","302952","","","314262","","","","281680","","","","293552","301265","","","","715898","","","898473","1008456","1096394","1070491","684735","","","","2357377","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","12417","","5876","","5099","","2478","2586","17120","19408","19434","20026","17753","","","","","","","","","","","","","","","","","","","","","145988","119517","","","","39447","","50246","","","","","","","",
"Colombia","COL","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","630649","","","","","669261","","","","","","","","95617","74172","171461","150999","","77610","","","","","10554","41290","53744","97753","","","76236","98434","58849","52032","",
"Comoros","COM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","5095","","","","","","","9277","","","","","15515","12563","","","","","","","9203","","","","","","5593","7084","","","8750","","",
"Cabo Verde","CPV","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","2468","2657","3262","1935","1173","916","778","","","","","","","","","","","","","","993","1256","1226","1831","1223","740","709","785","1028","1418","1688","1608","1909","1848","1841","1915","1900","1735","",
"Costa Rica","CRI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","23601","","20352","17670","","16819","13035","","13939","16357","16621","15812","19460","","","26555","26470","27186","","28153","29402","29530","","","","","","","","","","","","","","","","","","","","","","1311","5034","3858","3219","6948","","",
"Caribbean small states","CSS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","30516","30942","28231","27944","23835","35826","42145","32278","33136","33128","39540","36071","28612","27649","28817","28706","29053","18792","21866","16249","24173","30463","31278","33926","33082","31364","30950","30978","28285","26063","24857","27533","34855","34765","28183","30545","32286","31991","30316","33343","32795","32019","33733","36422","37942","31757","29285","31104","33669","",
"Cuba","CUB","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","40715","30366","23557","","","","","","6154","30384","43103","42906","54941","59338","51352","38138","35013","33238","36772","39414","30122","26197","15399","17071","5008","5764","6019","1463","209","","","6007","6885","12318","18331","11062","11638","4972","2076","4282","7952","7601","19728","22410","20439","15641","7408","",
"Curacao","CUW","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","8167","8466","8292","8275","10694","11428","11704","11302","10936","11002","9798","10924","10702","10568","10372","8818","7519","7128","7361","8071","8280","9182","793","983","1243","1220","1273","","","765","759","430","291","205","","","","","","","","361","563","739","426","","","","",
"Czech Republic","CZE","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1286","1261","3043","2302","","","","","",
"Germany","DEU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82","6683","","","","","","","","","","9077","17641","","","","","",
"Djibouti","DJI","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","25195","25832","27653","29815","31735","32939","","33236","35273","35549","36116","37297","39496","","41055","41303","39088","37803","","35262","34723","33340","31725","25471","26183","","21661","","21663","16916","20451","21832","20384","18804","16105",
"Dominica","DMA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","606","763","","1308","1171","1509","927","","","","","","","","","","","","","","","","","","","538","382","544","598","712","760","802","716","436","","","","","","","","","","",
"Denmark","DNK","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","10832","8739","4841","2201","3135","2637","2559","2342","4453","4518","3193","4241","4879","2000","3149","3071","","","","","","","","4928","3060","2563","1374","1669","2379","2771","2347","1558","595","1455","181","","","","",
"Dominican Republic","DOM","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84228","75970","","21342","40086","91755","84791","95303","53616","75667","","11507","21313","29454","32802","44199","23802","27258","31967","","",
"Algeria","DZA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","283516","228570","199841","178209","167812","165481","178197","168695","173949","190165","217328","209682","219631","214420","202063","190803","179905","178517","150340","137872","164060","180511","185079","208895","232013","","192033","181010","133845","111049","101506","83795","74041","65186","61099","36415","","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","4628863","3292669","2196901","1517692","2657819","2201453","2480706","3294787","4338736","5934937","7309188","8526571","6952243","5071870","4725846","4212502","4142607","3922742","4165295","4146726","4699384","3724073","3589561","3238443","3423232","3506037","3123060","3382712","3012927","2864500","2666130","2530310","2546001","",
"Early-demographic dividend","EAR","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","25092322","25355674","24547324","23396208","23774804","23639888","23286536","22424152","23172960","23068772","22606056","21814804","21190116","20838598","20864912","21089628","20954552","21472364","20965260","20019980","21136428","20936112","21143224","21293606","21173256","21784544","21647204","22260852","21990770","21695364","20243994","19825330","19832082","19349260","17076868","15013508","14261899","11751791","12318748","13129775","12800000","13700000","12200000","11000000","10300000","10300000","9668852","9502918","9072984","",
"East Asia & Pacific","EAS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","5170370","3723008","2550839","1824625","3088878","2630523","2902357","3723435","4785170","6413639","7777410","8989505","7390991","5494348","5105192","4552977","4487916","4241520","4473028","4426664","4976797","3965007","3810199","3445996","3620341","3709619","3342883","3590137","3194136","3000667","2809294","2674409","2736034","",
"Europe & Central Asia (excluding high income)","ECA","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","544719","624940","678488","836916","782584","814451","763969","692244","760807","660939","519963","305057","315784","470381","506801","490410","389985","453337","510000","381612","394693","352066","411346","386154","401479","395341","520125","",
"Europe & Central Asia","ECS","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","","","1722539","1665203","1602259","1512864","1466809","1432754","1402875","1404053","1556548","1574627","1673553","1580561","1561838","1398919","1273827","1152142","1195030","1190470","1091379","1121173","1162208","1172239","1306039","1204508","1210402","943388","857495","961857","857825","745684","565574","615914","689363","722963","696901","548012","628723","676475","538783","542582","473392","575200","530182","556660","562954","810792","",
"Ecuador","ECU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","102807","","105339","104706","113701","114025","96989","87102","66786","77572","","","","","","","","","","","","","","69925","66495","57572","36686","34858","38096","31614","21337","","","","26947","21193","","66172","","","","","","","","","","","",
"Egypt, Arab Rep.","EGY","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","","633660","626662","643574","","","","","700293","","","","","","","","","","","","","","","","266398","","","259539","","446269","383799","360749","336974","305308","289820","","","","","","","","59251","","","","","","","",
"Euro area","EMU","Children out of school, primary, male","SE.PRM.UNER.MA","","","","","","","","","","","517887","521978","523628","521662","434647","392146","351509","333185","327780","317794","310190","325429","349089","420148","430174","415151","324855","290212","270021","253771","262885","275982","273031","279251","260302","228044","177364","189968","84472","100739","104669","101796","113010","128931","134525","60747","53732","40922","44895","55342","59716","50170","57017","66188","110355","94525","104162","118876","192303","",
